Date,Open,High,Low,Close,Adj Close,Volume
2020-02-25,74.754097,74.941452,69.820450,70.694771,69.699730,12984120
2020-02-26,71.007027,72.068695,67.447304,68.384071,67.421570,14910520
2020-02-27,66.323189,68.384071,64.387199,64.886810,63.973526,15091861
2020-02-28,62.138954,69.882904,61.576893,67.946915,66.990562,24229491
2020-03-02,70.007805,70.819672,67.197502,70.007805,69.022446,19983952
2020-03-03,70.257614,71.069473,66.635445,67.946915,66.990562,17493528
2020-03-04,69.071037,69.445747,66.822792,68.384071,67.421570,13300479
2020-03-05,66.198280,67.010147,62.138954,62.950821,62.064793,17307463
2020-03-06,60.827480,60.952381,57.330212,58.704136,57.935349,23772718
2020-03-09,52.021858,54.082748,50.647930,51.272442,50.600983,19599412
2020-03-10,54.832161,55.269321,50.960186,55.269321,54.545525,15842591
2020-03-11,53.832943,54.082748,50.960186,51.272442,50.600983,16557325
2020-03-12,45.152225,48.587040,42.654175,45.152225,44.560921,25206253
2020-03-13,48.711945,50.210773,44.902420,49.024200,48.382183,17636904
2020-03-16,43.653397,44.652615,41.530056,41.592506,41.047817,18560201
2020-03-17,43.153786,45.776737,39.344261,44.215458,43.636417,19251188
2020-03-18,40.655739,42.466824,36.846214,41.217800,40.678017,22245686
2020-03-19,39.968773,43.153786,38.407494,40.468384,39.938416,15851366
2020-03-20,43.778297,44.028103,40.281029,40.718189,40.184948,20196358
2020-03-23,40.281029,41.405151,37.658081,38.157688,37.657982,16914180
2020-03-24,41.592506,44.090553,40.405933,43.778297,43.204987,19133945
2020-03-25,46.526150,49.960968,43.466042,47.213116,46.594814,22079076
2020-03-26,47.650272,51.834503,46.900860,50.710384,50.046284,19724342
2020-03-27,47.962528,49.149101,47.088211,47.587822,46.964615,14939502
2020-03-30,47.088211,49.586262,45.901638,49.274006,48.628723,13906888
2020-03-31,49.149101,51.085091,48.836845,49.586262,48.936886,19399128
2020-04-01,46.963310,47.150665,43.715847,43.965652,43.389893,15941549
2020-04-02,43.840748,46.151443,42.279469,43.091335,42.527012,15611931
2020-04-03,43.903202,44.028103,41.092896,42.029663,41.479244,15660753
2020-04-06,44.153004,45.589382,43.341141,45.152225,44.560921,15700032
2020-04-07,48.024979,48.399689,43.715847,43.903202,43.328247,15386059
2020-04-08,44.839970,46.088993,44.090553,45.589382,44.992352,14835693
2020-04-09,46.526150,47.088211,44.277908,44.590164,44.006214,20511628
2020-04-13,44.527714,44.527714,42.217018,43.840748,43.266617,15063679
2020-04-14,44.340359,45.214676,42.716629,43.278690,42.711914,17144135
2020-04-15,42.029663,42.029663,39.656517,40.593285,40.061684,22132606
2020-04-16,40.468384,40.843090,38.719749,38.969555,38.459213,26529222
2020-04-17,40.405933,43.341141,39.594067,42.716629,42.157223,26565986
2020-04-20,41.280251,42.154568,40.343483,40.655739,40.123318,15963117
2020-04-21,39.906322,41.092896,39.344261,40.468384,39.938416,12402178
2020-04-22,41.155346,41.467602,39.968773,40.156128,39.630257,12289626
2020-04-23,40.343483,42.092117,40.156128,40.718189,40.184948,13257726
2020-04-24,41.155346,41.217800,39.032005,39.094456,38.582478,24918076
2020-04-27,39.843872,40.405933,39.531616,40.156128,39.630257,17139492
2020-04-28,41.030445,43.216236,41.030445,42.466824,41.910683,22524560
2020-04-29,41.717407,43.091335,40.718189,41.092896,40.554749,36064634
2020-04-30,40.967995,42.591724,40.031227,42.466824,41.910683,28135740
2020-05-01,41.654957,42.092117,40.031227,40.593285,40.061684,19275287
2020-05-04,39.344261,39.406715,38.407494,38.782200,38.274311,21913491
2020-05-05,39.219360,40.343483,38.469944,38.719749,38.212677,18734385
2020-05-06,38.719749,39.032005,37.283371,37.345825,36.856747,18775233
2020-05-07,37.845432,39.094456,37.845432,38.157688,37.657982,16118711
2020-05-08,38.782200,39.531616,38.469944,39.281811,38.767380,14993673
2020-05-11,38.969555,39.032005,38.282593,38.657299,38.151039,11503860
2020-05-12,38.844654,39.219360,37.470726,37.470726,36.980011,15316309
2020-05-13,37.470726,37.595627,34.223263,36.159252,35.685715,37748716
2020-05-14,35.097580,36.846214,34.223263,35.597191,35.131004,22450390
2020-05-15,35.035130,35.347385,34.223263,34.285713,33.836708,20573853
2020-05-18,35.846996,40.530834,35.846996,39.156910,38.644115,40761164
2020-05-19,39.281811,39.781422,38.032787,38.782200,38.274311,17371177
2020-05-20,39.531616,40.405933,39.281811,40.093678,39.568615,14617395
2020-05-21,40.093678,40.905544,39.531616,40.468384,39.938416,15823729
2020-05-22,40.468384,40.468384,39.156910,40.031227,39.506985,11142490
2020-05-26,42.404373,43.341141,42.404373,42.466824,41.910683,20737901
2020-05-27,45.277126,46.401249,44.277908,45.526932,44.930717,23658613
2020-05-28,46.775955,46.775955,42.092117,42.341919,41.787415,22211707
2020-05-29,40.967995,41.967213,40.218578,41.030445,40.493114,20704179
